Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
4238.136647,2.4953768,3.0292721,13.605205,C001,T005,,
4238.138698,2.4968686,3.0189857,13.592356,C001,T005,,
4238.140748,2.5019534,2.9926753,13.559347,C001,T005,,
4238.142799,2.4963264,3.0260868,13.601229,C001,T005,,
4238.144849,2.5095198,2.9535048,13.509814,C001,T005,,
4238.1469,2.5083137,2.9743564,13.53624,C001,T005,,
4238.14895,2.5048058,2.9981341,13.566213,C001,T005,,
4238.151001,2.5115173,2.9640772,13.52323,C001,T005,,
4238.153051,2.5097542,2.9692321,13.529758,C001,T005,,
4238.155102,2.5146372,2.9502199,13.505638,C001,T005,,
4238.157152,2.5184565,2.9335182,13.484356,C001,T005,,
4238.159203,2.5207274,2.9079251,13.451574,C001,T005,,
4238.161253,2.5193896,2.8991134,13.440239,C001,T005,,
4238.163304,2.5257847,2.8535297,13.381201,C001,T005,,
4238.165354,2.5196967,2.8753178,13.409505,C001,T005,,
4238.167405,2.5198298,2.8659439,13.397347,C001,T005,,
4238.169455,2.5207045,2.852699,13.380119,C001,T005,,
4238.171506,2.5188615,2.8587034,13.387936,C001,T005,,
4238.173556,2.5191686,2.8530271,13.380547,C001,T005,,
4238.175607,2.5172648,2.8631992,13.393782,C001,T005,,
4238.177658,2.523901,2.8391919,13.362491,C001,T005,,
4238.179708,2.5192621,2.8735209,13.407176,C001,T005,,
4238.181759,2.5202317,2.8784206,13.413523,C001,T005,,
4238.183809,2.5174365,2.8993926,13.440599,C001,T005,,
4238.18586,2.5197437,2.8818288,13.417933,C001,T005,,
4238.18791,2.5224023,2.875845,13.410188,C001,T005,,
4238.189961,2.5161324,2.9115133,13.456183,C001,T005,,
4238.192011,2.5151119,2.9089911,13.452944,C001,T005,,
4238.194062,2.5163922,2.9105322,13.454923,C001,T005,,
4238.196112,2.5203242,2.8888788,13.427043,C001,T005,,
4238.198163,2.5218375,2.8782847,13.413347,C001,T005,,
4238.200213,2.5229416,2.8594508,13.388909,C001,T005,,
4238.202264,2.5205922,2.8744526,13.408384,C001,T005,,
4238.204314,2.5253794,2.8429763,13.367436,C001,T005,,
